area_type,availability,location,total_sqft,bath,balcony,price,bhk
Built-up  Area,Ready To Move,Kodigehaali,1166,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1050,2.0,1.0,65.0,2.0
Super built-up  Area,Ready To Move,Begur Road,1200,2.0,2.0,46.8,2.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1600,2.0,1.0,108.0,3.0
Super built-up  Area,Ready To Move,Billekahalli,1935,3.0,2.0,110.0,3.0
Super built-up  Area,18-May,8th Phase JP Nagar,451,1.0,0.0,29.9,1.0
Super built-up  Area,Ready To Move,Electronic City,1800,3.0,2.0,95.0,3.0
Super built-up  Area,18-May,Jalahalli,1400,3.0,0.0,77.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,1801,3.0,2.0,115.0,3.0
Built-up  Area,Ready To Move,Mahadevpura,1451,2.0,2.0,90.0,2.0
Plot  Area,19-Jan,Anekal,1200,1.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Begur Road,1160,2.0,2.0,44.0,2.0
Built-up  Area,Ready To Move,Kengeri,1000,2.0,1.0,25.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,950,2.0,1.0,40.0,2.0
Built-up  Area,20-Dec,"Hoodi Circle, ",1629,3.0,2.0,79.0,3.0
Built-up  Area,Ready To Move,Vijayanagar,1580,2.0,0.0,134.0,3.0
Super built-up  Area,21-Jun,Vijayanagar,1826,3.0,2.0,121.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1245,2.0,1.0,94.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1145,2.0,2.0,45.79,2.0
Super built-up  Area,Ready To Move,Sompura,825,2.0,1.0,33.0,2.0
Super built-up  Area,18-Aug,Yeshwanthpur,1693,3.0,3.0,108.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1113.27,2.0,2.0,53.0,2.0
Built-up  Area,Ready To Move,Ashirvad Colony,1460,2.0,1.0,58.0,2.0
Built-up  Area,Ready To Move,Doddathoguru,1050,2.0,1.0,32.0,2.0
Built-up  Area,Ready To Move,Dodda Nekkundi,1260,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,K N Extension,700,3.0,2.0,120.0,6.0
Built-up  Area,Ready To Move,Hosur Road,1656,2.0,1.0,120.0,2.0
Super built-up  Area,Ready To Move,Chandapura,1208,3.0,1.0,45.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1910,3.0,2.0,161.0,3.0
Plot  Area,Ready To Move,Battarahalli,1200,2.0,1.0,65.0,2.0
Super built-up  Area,Ready To Move,Gokula Extension,1200,4.0,1.0,175.0,4.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1175,2.0,1.0,82.0,2.0
Plot  Area,Ready To Move,Kamakshipalya,1000,2.0,0.0,165.0,2.0
Plot  Area,Ready To Move,Bannerghatta Road,1200,2.0,0.0,125.0,4.0
Plot  Area,Ready To Move,Sultan Palaya,550,1.0,1.0,62.0,2.0
Super built-up  Area,Ready To Move,Kengeri,34.46Sq. Meter,1.0,0.0,18.5,1.0
Super built-up  Area,Ready To Move,Sanne Amanikere,1185,2.0,2.0,38.0,2.0
Super built-up  Area,Ready To Move,Kengeri,750,2.0,1.0,38.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,1550,3.0,3.0,64.5,3.0
Built-up  Area,Ready To Move,Amco Colony,1760,3.0,2.0,88.0,3.0
Super built-up  Area,Ready To Move,Billekahalli,1125,2.0,2.0,62.0,2.0
Plot  Area,Ready To Move,Nagarbhavi,1350,3.0,2.0,150.0,3.0
Plot  Area,17-Dec,Anandapura,1000,2.0,1.0,55.0,2.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,1090,2.0,2.0,31.48,2.0
Plot  Area,Ready To Move,TC Palaya,1200,2.0,0.0,60.0,2.0
Super built-up  Area,Ready To Move,Budigere,1991,4.0,2.0,103.0,3.0
Super built-up  Area,18-Oct,Bommasandra,1060,2.0,1.0,26.5,2.0
Super built-up  Area,Ready To Move,Ambalipura,1105,2.0,1.0,75.0,2.0
Built-up  Area,Ready To Move,Hoodi,985,2.0,2.0,67.0,2.0
Plot  Area,Ready To Move,Chandapura,1533,5.0,3.0,85.0,6.0
Super built-up  Area,17-Jul,Balagere,1590,3.0,2.0,79.0,3.0
Super built-up  Area,Ready To Move,CV Raman Nagar,1120,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Samethanahalli,1069,2.0,1.0,55.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,1933,3.0,2.0,140.0,3.0
Built-up  Area,16-Mar,Hosur Road,1194,2.0,0.0,69.0,2.0
Super built-up  Area,Ready To Move,Brookefield,1150,2.0,3.0,69.0,2.0
Super built-up  Area,Ready To Move,Yelenahalli,1240,2.0,2.0,47.12,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1419,2.0,2.0,48.1,2.0
Super built-up  Area,Ready To Move,Suddaguntepalya,1450,3.0,2.0,55.0,3.0
Super built-up  Area,18-Jul,Udayapur Village,1630,3.0,2.0,68.29,3.0
Super built-up  Area,Ready To Move,Dasanapura,708,1.0,1.0,40.0,2.0
Plot  Area,Ready To Move,Kasavanhalli,1000,4.0,3.0,110.0,3.0
Super built-up  Area,Ready To Move,Bellandur,1250,2.0,1.0,76.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1400,2.0,1.0,95.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1670,2.0,3.0,57.0,3.0
Super built-up  Area,Ready To Move,Ardendale,1750,3.0,2.0,100.0,3.0
Super built-up  Area,Ready To Move,Vittasandra,1404,2.0,1.0,71.0,2.0
Super built-up  Area,Ready To Move,Hoodi,1715,2.0,2.0,95.0,3.0
Built-up  Area,18-Apr,Electronic City,630,1.0,1.0,34.65,1.0
Super built-up  Area,Ready To Move,Harlur,1752.12,3.0,2.0,135.0,3.0
Super built-up  Area,Ready To Move,Hulimavu,1650,3.0,2.0,78.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1295,2.0,1.0,55.47,2.0
Super built-up  Area,18-Sep,Sarjapur  Road,1346,2.0,1.0,74.03,2.0
Plot  Area,Ready To Move,Thippasandra,1200,4.0,2.0,200.0,4.0
Super built-up  Area,Ready To Move,Hormavu,1150,2.0,2.0,55.0,2.0
Super built-up  Area,18-May,Chandapura,1190,2.0,2.0,30.35,3.0
Super built-up  Area,Ready To Move,AECS Layout,1620,3.0,2.0,98.0,3.0
Super built-up  Area,18-Apr,Marathahalli,950,2.0,1.0,46.96,2.0
Super built-up  Area,Ready To Move,Harlur,2450,3.0,0.0,120.0,3.0
Super built-up  Area,18-May,Electronic City Phase II,1220,2.0,1.0,35.23,3.0
Super built-up  Area,Ready To Move,Hoysalanagar,850,2.0,1.0,30.0,2.0
Built-up  Area,Ready To Move,Padmanabhanagar,1020,2.0,2.0,63.0,2.0
Built-up  Area,Ready To Move,Chikkalasandra,1100,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Defence Colony,1150,2.0,2.0,126.0,2.0
Super built-up  Area,18-Dec,Hebbal,1760,2.0,2.0,130.0,3.0
Super built-up  Area,Ready To Move,Ambalipura,1800,3.0,3.0,110.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,1070,2.0,1.0,54.0,2.0
Plot  Area,Ready To Move,Vidyaranyapura,1440,2.0,0.0,95.0,2.0
Super built-up  Area,Ready To Move,Amruthahalli,900,2.0,1.0,40.0,2.0
Super built-up  Area,18-May,Whitefield,1130,2.0,1.0,42.16,2.0
Super built-up  Area,Ready To Move,Koramangala,1320,2.0,1.0,165.0,2.0
Super built-up  Area,19-Jun,Kodigehalli,1270,2.0,1.0,98.0,2.0
Built-up  Area,Ready To Move,Patelappa Layout,1200,2.0,1.0,62.0,2.0
Super built-up  Area,Ready To Move,NS Palya,1200,2.0,1.0,74.0,2.0
Super built-up  Area,Ready To Move,Subramanyapura,929,2.0,0.0,50.17,2.0
Plot  Area,Ready To Move,Basavangudi,1125,4.0,3.0,180.0,4.0
Plot  Area,Ready To Move,Kenchenahalli,500,3.0,2.0,65.0,5.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,1200,5.0,2.0,190.0,5.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,1464,3.0,2.0,56.0,3.0
Plot  Area,Ready To Move,Bank Avenue,2000,4.0,2.0,99.0,4.0
Super built-up  Area,Ready To Move,Chikkalasandra,1208,2.0,1.0,49.0,2.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,1130,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Surabhi Layout,1753,3.0,2.0,120.0,3.0
Plot  Area,Ready To Move,Banjara Layout,600,3.0,2.0,58.0,3.0
Super built-up  Area,22-Jun,Hoodi,1196,2.0,2.0,94.42,2.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,1150,3.0,3.0,52.5,2.0
Super built-up  Area,18-Apr,Electronic City,1128,2.0,1.0,63.0,2.0
Super built-up  Area,Ready To Move,Omkar Nagar,1000,2.0,1.0,53.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,1035,2.0,1.0,45.0,2.0
Built-up  Area,Ready To Move,Kereguddadahalli,950,2.0,1.0,32.0,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,1075,2.0,1.0,36.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1040,2.0,1.0,48.5,2.0
Plot  Area,17-Oct,Maragondanahalli,720,2.0,1.0,45.0,2.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,1511,3.0,1.0,95.0,3.0
Built-up  Area,Ready To Move,Silk Board,1300,3.0,1.0,58.0,3.0
Super built-up  Area,19-Dec,Hoodi,1545,3.0,1.0,68.75,3.0
Built-up  Area,Ready To Move,Shampura,375,2.0,0.0,26.0,1.0
Super built-up  Area,Ready To Move,Vidyaranyapura,1062,2.0,3.0,38.0,2.0
Super built-up  Area,Ready To Move,Kada Agrahara,1115,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,JP Nagar,1000,2.0,1.0,35.0,2.0
Super built-up  Area,17-May,Kambipura,883,2.0,1.0,45.0,2.0
Super built-up  Area,19-Apr,Sarjapur  Road,1195,2.0,1.0,70.0,2.0
Plot  Area,Ready To Move,BHEL Layout,1200,3.0,1.0,165.0,4.0
Built-up  Area,Ready To Move,Medahalli,700,1.0,0.0,41.0,1.0
Super built-up  Area,Ready To Move,Vittasandra,1246,2.0,1.0,67.0,2.0
Plot  Area,Ready To Move,8th Phase JP Nagar,660,4.0,2.0,90.0,4.0
Plot  Area,Ready To Move,Banashankari Stage III,8500,4.0,2.0,145.0,4.0
Super built-up  Area,Ready To Move,Kashi Nagar,1600,4.0,1.0,80.0,4.0
Super built-up  Area,18-Dec,Haralur Road,2805,5.0,3.0,154.0,4.0
Super built-up  Area,Ready To Move,Begur Road,1584,3.0,2.0,65.0,3.0
Built-up  Area,Ready To Move,Hosur Road,1175,2.0,2.0,48.0,3.0
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",1595,3.0,2.0,115.0,3.0
Super built-up  Area,Ready To Move,VHBCS Layout,1353,2.0,2.0,110.0,2.0
Super built-up  Area,18-Apr,Electronic City,1599,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1150,2.0,1.0,70.0,2.0
Super built-up  Area,Ready To Move,KR Puram,1155,2.0,2.0,42.74,2.0
Built-up  Area,Ready To Move,Ittamadu,1200,2.0,0.0,85.0,1.0
Super built-up  Area,18-Jul,Electronic City Phase II,1000,2.0,1.0,25.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3000,4.0,2.0,120.0,4.0
Built-up  Area,Ready To Move,Rajiv Nagar,1867,3.0,1.0,160.0,3.0
Super built-up  Area,18-Jun,Ramagondanahalli,1251,2.0,1.0,47.0,2.0
Super built-up  Area,18-Apr,Gattahalli,1028,2.0,1.0,45.5,2.0
Super built-up  Area,Ready To Move,Arekere,1222,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1170,2.0,1.0,66.0,3.0
Super built-up  Area,Ready To Move,Ramanjaneyanagar,1385,2.0,2.0,48.48,3.0
Super built-up  Area,Ready To Move,HSR Layout,1372,2.0,1.0,68.0,2.0
Super built-up  Area,Ready To Move,Magadi Road,1282,2.0,2.0,49.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,1135,2.0,1.0,39.73,2.0
Built-up  Area,20-Dec,Whitefield,1768,3.0,2.0,101.0,3.0
Built-up  Area,Ready To Move,Byatarayanapura,1325,2.0,1.0,90.0,3.0
Super built-up  Area,18-Apr,Electronic City,1599,3.0,2.0,99.0,3.0
Plot  Area,18-Mar,Whitefield,1500,3.0,1.0,61.95,3.0
Super built-up  Area,Ready To Move,Uttarahalli,1286,2.0,2.0,63.0,2.0
Built-up  Area,Ready To Move,Kammanahalli,2845,5.0,1.0,140.0,5.0
Super built-up  Area,Ready To Move,K G Colony,1600,2.0,2.0,50.0,3.0
Super built-up  Area,18-Sep,Hennur Road,1195 - 1440,2.0,0.0,63.77,2.0
Super built-up  Area,18-Apr,Munnekollal,1102,2.0,2.0,53.67,2.0
Super built-up  Area,Ready To Move,Yelahanka,1350,2.0,2.0,54.0,2.0
Super built-up  Area,Ready To Move,Banashankari,1200,2.0,2.0,42.0,3.0
Plot  Area,Ready To Move,Herohalli,1800,1.0,1.0,80.0,2.0
Built-up  Area,Ready To Move,Chikkabanavar,950,2.0,1.0,40.0,2.0
Super built-up  Area,21-Dec,Kanakpura Road,525,1.0,1.0,27.25,1.0
Built-up  Area,Ready To Move,Attibele,656,2.0,1.0,25.0,2.0
Plot  Area,Ready To Move,Marathahalli,1780,4.0,3.0,175.0,4.0
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,1056,2.0,1.0,80.0,2.0
Super built-up  Area,21-Feb,Bannerghatta Road,595,1.0,1.0,33.32,1.0
Built-up  Area,Ready To Move,Ittamadu,1080,2.0,2.0,50.0,2.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,2225,3.0,1.0,160.0,3.0
Super built-up  Area,18-Aug,Bommasandra,1126,2.0,1.0,28.15,2.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1490,3.0,1.0,84.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1550,3.0,3.0,100.0,3.0
Super built-up  Area,Ready To Move,Unknown,1600,3.0,2.0,86.0,3.0
Built-up  Area,Ready To Move,Ashwini layout,1160,2.0,1.0,55.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2100,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Vittasandra,1404,2.0,1.0,69.3,2.0
Super built-up  Area,Ready To Move,Marathalli bridge,1544,3.0,2.0,120.0,3.0
Super built-up  Area,18-May,Banashankari Stage III,1305,2.0,1.0,58.7,3.0
Super built-up  Area,Ready To Move,Marathahalli,1230,2.0,2.0,80.0,2.0
Plot  Area,Ready To Move,T.C PALYA,1200,2.0,0.0,65.0,2.0
Super built-up  Area,Ready To Move,Harlur,1460,3.0,1.0,73.0,3.0
Plot  Area,Immediate Possession,Sarjapur  Road,1200 - 2400,2.0,2.0,34.185,3.0
Built-up  Area,Ready To Move,Gottigere,967,2.0,3.0,45.0,2.0
Built-up  Area,Ready To Move,Byatarayanapura,540,1.0,1.0,36.0,1.0
Super built-up  Area,19-Dec,Hormavu,715,1.0,2.0,46.0,1.0
Super built-up  Area,Ready To Move,Dooravani Nagar,1578,3.0,1.0,180.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,1020,2.0,1.0,48.95,2.0
Super built-up  Area,Ready To Move,Jigani,1020,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,Koramangala,1253,2.0,1.0,102.0,2.0
Super built-up  Area,Ready To Move,JCR Layout,1180,2.0,2.0,42.0,2.0
Super built-up  Area,Ready To Move,Nehru Nagar,961,2.0,2.0,38.0,2.0
Built-up  Area,Ready To Move,Kanakapura,1419,3.0,3.0,75.0,3.0
Super built-up  Area,Ready To Move,Harlur,1709,3.0,2.0,150.0,3.0
Plot  Area,Ready To Move,Papareddipalya,1600,2.0,0.0,115.0,2.0
Super built-up  Area,18-Jul,Venkatapura,416,1.0,1.0,18.5,1.0
Carpet  Area,Ready To Move,Sanjay nagar,1100,2.0,2.0,98.0,2.0
Super built-up  Area,Ready To Move,HSR Layout,1430,2.0,1.0,65.0,3.0
Super built-up  Area,Ready To Move,Sneha Colony,1260,2.0,2.0,45.0,2.0
Built-up  Area,Ready To Move,RMV Extension,1630,3.0,2.0,85.0,3.0
Super built-up  Area,19-May,Sarjapur  Road,1249,3.0,2.0,44.71,3.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1450,2.0,3.0,85.0,3.0
Super built-up  Area,Ready To Move,Hosapalya,600,1.0,0.0,90.0,1.0
Built-up  Area,Ready To Move,Ashwini layout,834,1.0,1.0,60.0,1.0
Plot  Area,Ready To Move,Doddagubbi,1125,4.0,1.0,70.0,3.0
Super built-up  Area,Ready To Move,Arekere,2060,3.0,2.0,140.0,3.0
Built-up  Area,Ready To Move,Gottigere,891,2.0,1.0,25.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1133,2.0,1.0,49.07,2.0
Built-up  Area,Ready To Move,Bisuvanahalli,1075,2.0,1.0,37.0,3.0
Built-up  Area,Ready To Move,Vidyaranyapura,1200,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1075,2.0,2.0,45.8,2.0
Super built-up  Area,Ready To Move,Kaggadasapura,1140,2.0,2.0,40.0,2.0
Plot  Area,Ready To Move,Margondanahalli,940,4.0,2.0,150.0,5.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1090,2.0,1.0,42.0,2.0
Built-up  Area,Ready To Move,R.T. Nagar,1500,4.0,1.0,70.0,4.0
Super built-up  Area,Ready To Move,Whitefield,1790,3.0,2.0,100.0,3.0
Super built-up  Area,18-Dec,Hebbal,1920,3.0,2.0,134.0,3.0
Built-up  Area,Ready To Move,HRBR Layout,1374,2.0,2.0,95.0,2.0
Carpet  Area,Ready To Move,Bannerghatta Road,1445,3.0,2.0,95.0,3.0
Super built-up  Area,19-Dec,Kanakapura,711,1.0,1.0,36.0,1.0
Super built-up  Area,Ready To Move,Tumkur Road,1500,3.0,3.0,95.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1720,3.0,3.0,100.0,3.0
Super built-up  Area,Ready To Move,Vasanthapura,1400,3.0,2.0,60.0,3.0
Built-up  Area,Ready To Move,Kundalahalli,1030,2.0,2.0,49.0,2.0
Super built-up  Area,Ready To Move,Mysore Road,1200,2.0,1.0,85.0,2.0
Carpet  Area,18-Jul,Hosahalli,1375,3.0,2.0,70.0,3.0
Plot  Area,Ready To Move,Hegde Nagar,1050,1.0,2.0,56.0,2.0
Super built-up  Area,Ready To Move,Jalahalli,2250,3.0,2.0,160.0,3.0
Super built-up  Area,Ready To Move,Bellandur,1000,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Jalahalli West,469,1.0,0.0,25.0,1.0
Super built-up  Area,Ready To Move,Kambipura,883,2.0,1.0,29.0,2.0
Super built-up  Area,Ready To Move,GM Palaya,1820,2.0,3.0,86.0,3.0
Built-up  Area,Ready To Move,Singasandra,1440,2.0,3.0,65.0,3.0
Super built-up  Area,Ready To Move,near Ramanashree California resort,3600,4.0,1.0,160.0,6.0
Super built-up  Area,18-Aug,Mahadevpura,1225,2.0,2.0,48.0,2.0
Carpet  Area,Ready To Move,Chikkalasandra,875,2.0,3.0,52.8,2.0
Super built-up  Area,Ready To Move,Jalahalli East,750,1.0,2.0,40.0,1.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1180,2.0,3.0,80.0,2.0
Super built-up  Area,Ready To Move,Haralur Road,1194,2.0,2.0,47.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,1500,2.0,2.0,62.0,3.0
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,1160,2.0,2.0,52.2,2.0
Super built-up  Area,Ready To Move,Sarjapur,1128,2.0,1.0,60.0,2.0
Super built-up  Area,Ready To Move,Hebbal,1500,3.0,1.0,150.0,3.0
Built-up  Area,18-Aug,Huskur,1220,2.0,1.0,35.23,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1210,2.0,2.0,58.0,2.0
Super built-up  Area,20-Oct,Kanakpura Road,1100,2.0,1.0,58.0,3.0
Super built-up  Area,Ready To Move,Bommasandra,1200,3.0,2.0,46.0,3.0
Super built-up  Area,Ready To Move,Nagondanahalli,1641,3.0,2.0,66.0,3.0
Super built-up  Area,Ready To Move,Horamavu Agara,1200,2.0,1.0,45.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1260,2.0,1.0,67.39,2.0
Super built-up  Area,Ready To Move,Mahadevpura,1720,3.0,3.0,78.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,1120 - 1145,2.0,0.0,48.13,2.0
Super built-up  Area,Ready To Move,Yelahanka,1210,2.0,1.0,45.98,2.0
Built-up  Area,Ready To Move,Indira Nagar,2200,4.0,2.0,200.0,4.0
Super built-up  Area,Ready To Move,Bisuvanahalli,1075,2.0,1.0,45.0,3.0
Built-up  Area,Ready To Move,Thanisandra,1702,3.0,2.0,130.0,3.0
Super built-up  Area,Ready To Move,Shanthala Nagar,1630,2.0,2.0,200.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1141,2.0,2.0,38.55,2.0
Super built-up  Area,18-Apr,Shantiniketan Layout,2072,3.0,2.0,108.0,3.0
Built-up  Area,Ready To Move,Herohalli,1200,2.0,0.0,70.0,3.0
Super built-up  Area,Ready To Move,Teachers Colony,1350,3.0,0.0,77.0,3.0
Super built-up  Area,18-Dec,Srinivasa Nagar,1180,2.0,2.0,78.34,3.0
Built-up  Area,Ready To Move,Yelahanka,35000,3.0,3.0,130.0,3.0
Super built-up  Area,Ready To Move,Langford Town,1355,2.0,2.0,115.0,2.0
Plot  Area,Ready To Move,Sulthangunta,600,1.0,0.0,50.0,1.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1640,2.0,1.0,120.0,3.0
Plot  Area,Ready To Move,Byrathi Village,1200,5.0,0.0,100.0,5.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,1190,2.0,2.0,57.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,1019,2.0,2.0,49.85,2.0
Super built-up  Area,Ready To Move,Ambedkar Colony,1875,3.0,2.0,165.0,3.0
Super built-up  Area,18-May,Akshaya Nagar,1250,3.0,2.0,40.0,3.0
Plot  Area,Ready To Move,Brookefield,1200,3.0,2.0,140.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1140,2.0,1.0,56.0,2.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,1683,3.0,1.0,109.0,3.0
Super built-up  Area,Ready To Move,Kaggadasapura,1515,3.0,2.0,83.3,3.0
Super built-up  Area,19-Dec,Hoodi,2118,4.0,2.0,111.0,4.0
Built-up  Area,Ready To Move,Bannerghatta Road,1380,3.0,0.0,58.0,4.0
Super built-up  Area,Ready To Move,Varthur Road,1083,2.0,2.0,61.75,2.0
Plot  Area,Ready To Move,Anjappa Layout,600,2.0,1.0,55.0,2.0
Built-up  Area,Ready To Move,Avalahalli,2300,3.0,3.0,120.0,3.0
Super built-up  Area,Ready To Move,Prakruthi Nagar,1240,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Surabhi Layout,1750,3.0,1.0,120.0,3.0
Super built-up  Area,18-Apr,Sadaramangala,1230,2.0,2.0,43.48,2.0
Plot  Area,17-Aug,Anjanapura,1500,3.0,1.0,139.0,3.0
Super built-up  Area,Ready To Move,Abbigere,985,2.0,1.0,40.39,2.0
Plot  Area,Ready To Move,Tindlu,1500,2.0,1.0,87.0,3.0
Built-up  Area,18-Dec,Electronic City,1125,2.0,1.0,32.49,2.0
Built-up  Area,Ready To Move,Maruthi Sevanagar,950,2.0,1.0,44.0,2.0
Super built-up  Area,Ready To Move,Kothanur,1580,3.0,3.0,76.0,3.0
Plot  Area,Ready To Move,B Narayanapura,1092,2.0,1.0,98.5,3.0
Built-up  Area,18-Jul,Electronic City Phase II,1090,2.0,1.0,28.34,2.0
Built-up  Area,19-Mar,Hennur Road,2264,3.0,1.0,159.0,3.0
Super built-up  Area,19-Aug,Dommasandra,1033,2.0,2.0,25.53,3.0
Super built-up  Area,18-Apr,Kammasandra,810,2.0,2.0,24.5,2.0
Super built-up  Area,Ready To Move,Green Garden Layout,1045,2.0,0.0,45.0,2.0
Super built-up  Area,18-Sep,Hebbal,1337,2.0,1.0,82.0,2.0
Super built-up  Area,Ready To Move,Chandapura,1200,2.0,2.0,32.0,2.0
Super built-up  Area,Ready To Move,Koramangala,1580,3.0,2.0,160.0,3.0
Super built-up  Area,Ready To Move,Begur Road,1500,2.0,3.0,54.0,3.0
Super built-up  Area,18-Sep,Whitefield,1640,4.0,2.0,91.0,3.0
Super built-up  Area,Ready To Move,Silver Springs Layout,1570,3.0,2.0,62.0,3.0
Super built-up  Area,Ready To Move,Gubbalala,1470,2.0,2.0,82.0,3.0
Super built-up  Area,Ready To Move,Kengeri,1160,2.0,2.0,40.61,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1050,2.0,1.0,71.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1460,2.0,1.0,90.0,3.0
Built-up  Area,Ready To Move,Hulimavu,1823,3.0,2.0,100.0,3.0
Super built-up  Area,Ready To Move,Electronic City,1094,2.0,2.0,42.0,2.0
Super built-up  Area,Ready To Move,Budigere,1153,2.0,2.0,57.0,2.0
Built-up  Area,Ready To Move,Hoysalanagar,1325,3.0,1.0,57.0,3.0
Plot  Area,Ready To Move,Parappana Agrahara,1200,3.0,2.0,85.0,4.0
Built-up  Area,Ready To Move,Jakkur,1590,2.0,2.0,125.0,3.0
Plot  Area,Ready To Move,Jeevan bima nagar,1210,4.0,2.0,160.0,5.0
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,1202,2.0,1.0,48.0,2.0
Built-up  Area,Ready To Move,Haralur Road,1202,2.0,1.0,53.0,2.0
Super built-up  Area,Ready To Move,KSRTC Layout,1200,2.0,3.0,62.5,2.0
Super built-up  Area,18-Feb,Panathur,1688,3.0,1.0,118.0,3.0
Built-up  Area,Ready To Move,Kaval Byrasandra,1020,2.0,1.0,52.0,2.0
Super built-up  Area,Ready To Move,Sarjapur,1185,2.0,2.0,47.0,2.0
Super built-up  Area,17-Oct,Ramagondanahalli,1235,2.0,1.0,52.04,2.0
Super built-up  Area,Ready To Move,Banashankari,1077,2.0,2.0,37.64,2.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1415,2.0,3.0,66.0,3.0
Super built-up  Area,18-Apr,EPIP Zone,2330,3.0,2.0,162.0,3.0
Super built-up  Area,Ready To Move,Whitefield,805,2.0,2.0,35.0,2.0
Built-up  Area,Ready To Move,P&T Colony,425,1.0,0.0,20.03,1.0
Super built-up  Area,Ready To Move,Whitefield,1155,2.0,3.0,59.95,2.0
Super built-up  Area,Ready To Move,Anekal,656,2.0,1.0,22.0,2.0
Built-up  Area,Ready To Move,New Gurappana Palya,1100,2.0,0.0,48.0,2.0
Super built-up  Area,Ready To Move,Mahadevpura,1150,2.0,3.0,52.0,2.0
Plot  Area,Ready To Move,Chelekare,600,1.0,1.0,60.0,1.0
Super built-up  Area,Ready To Move,Ambedkar Colony,1468,2.0,1.0,140.0,2.0
Super built-up  Area,18-Dec,Whitefield,2280,4.0,2.0,126.0,3.0
